x,V
   -3.028000,   -3.810620
   -3.024000,   -3.911245
   -3.020000,   -4.011152
   -3.016000,   -4.110343
   -3.012000,   -4.208822
   -3.008000,   -4.306589
   -3.004000,   -4.403648
   -3.000000,   -4.500000
   -2.996000,   -4.595648
   -2.992000,   -4.690595
   -2.988000,   -4.784842
   -2.984000,   -4.878393
   -2.980000,   -4.971248
   -2.976000,   -5.063411
   -2.972000,   -5.154883
   -2.968000,   -5.245668
   -2.964000,   -5.335767
   -2.960000,   -5.425183
   -2.956000,   -5.513917
   -2.952000,   -5.601973
   -2.948000,   -5.689352
   -2.944000,   -5.776057
   -2.940000,   -5.862090
   -2.936000,   -5.947452
   -2.932000,   -6.032148
   -2.928000,   -6.116178
   -2.924000,   -6.199545
   -2.920000,   -6.282252
   -2.916000,   -6.364299
   -2.912000,   -6.445691
   -2.908000,   -6.526428
   -2.904000,   -6.606514
   -2.900000,   -6.685950
   -2.896000,   -6.764739
   -2.892000,   -6.842882
   -2.888000,   -6.920383
   -2.884000,   -6.997243
   -2.880000,   -7.073464
   -2.876000,   -7.149050
   -2.872000,   -7.224001
   -2.868000,   -7.298320
   -2.864000,   -7.372010
   -2.860000,   -7.445072
   -2.856000,   -7.517509
   -2.852000,   -7.589323
   -2.848000,   -7.660516
   -2.844000,   -7.731090
   -2.840000,   -7.801048
   -2.836000,   -7.870392
   -2.832000,   -7.939123
   -2.828000,   -8.007245
   -2.824000,   -8.074759
   -2.820000,   -8.141667
   -2.816000,   -8.207972
   -2.812000,   -8.273675
   -2.808000,   -8.338780
   -2.804000,   -8.403287
   -2.800000,   -8.467200
   -2.796000,   -8.530520
   -2.792000,   -8.593250
   -2.788000,   -8.655391
   -2.784000,   -8.716946
   -2.780000,   -8.777917
   -2.776000,   -8.838306
   -2.772000,   -8.898115
   -2.768000,   -8.957346
   -2.764000,   -9.016003
   -2.760000,   -9.074085
   -2.756000,   -9.131596
   -2.752000,   -9.188539
   -2.748000,   -9.244914
   -2.744000,   -9.300724
   -2.740000,   -9.355971
   -2.736000,   -9.410658
   -2.732000,   -9.464786
   -2.728000,   -9.518357
   -2.724000,   -9.571374
   -2.720000,   -9.623839
   -2.716000,   -9.675753
   -2.712000,   -9.727119
   -2.708000,   -9.777940
   -2.704000,   -9.828216
   -2.700000,   -9.877950
   -2.696000,   -9.927144
   -2.692000,   -9.975801
   -2.688000,  -10.023922
   -2.684000,  -10.071509
   -2.680000,  -10.118565
   -2.676000,  -10.165091
   -2.672000,  -10.211090
   -2.668000,  -10.256564
   -2.664000,  -10.301514
   -2.660000,  -10.345942
   -2.656000,  -10.389852
   -2.652000,  -10.433244
   -2.648000,  -10.476121
   -2.644000,  -10.518485
   -2.640000,  -10.560338
   -2.636000,  -10.601682
   -2.632000,  -10.642518
